Kennziffer;Raumeinheit;Aggregat;Medianeinkommen;Einwohnerdichte;Ländlichkeit;Pkw-Dichte;Pendler mit Arbeitsweg 50 km und mehr;Auspendler
"09779";"Donau-Ries";"Landkreis";"3.368";"104";"66";"653";"10,2";"70,5"
"09780";"Oberallgäu";"Landkreis";"2.978";"101";"53";"618";"8,2";"72,5"
"10041";"Regionalverband Saarbrücken";"Landkreis";"3.431";"803";"0";"565";"7,3";"57,5"
"10042";"Merzig-Wadern";"Landkreis";"3.028";"186";"23";"661";"7,2";"68,9"
"10043";"Neunkirchen";"Landkreis";"3.190";"534";"0";"631";"6,4";"76,8"
"10044";"Saarlouis";"Landkreis";"3.268";"426";"0";"657";"6,0";"78,9"
"10045";"Saarpfalz-Kreis";"Landkreis";"3.494";"343";"4";"665";"7,5";"67,7"
"10046";"St. Wendel";"Landkreis";"3.102";"185";"21";"678";"9,0";"74,9"
"11000";"Berlin, Stadt";"krsfr. Stadt";"3.126";"4.055";"0";"331";"7,9";"13,9"
"12051";"Brandenburg an der Havel, Stadt";"krsfr. Stadt";"2.765";"313";"0";"470";"15,8";"35,4"
"12052";"Cottbus, Stadt";"krsfr. Stadt";"2.653";"610";"0";"477";"16,1";"35,4"
"12053";"Frankfurt (Oder), Stadt";"krsfr. Stadt";"2.692";"394";"0";"480";"17,6";"31,8"
"12054";"Potsdam, Stadt";"krsfr. Stadt";"2.979";"933";"0";"409";"8,4";"49,1"
"12060";"Barnim";"Landkreis";"2.402";"122";"38";"553";"14,1";"76,3"
"12061";"Dahme-Spreewald";"Landkreis";"2.518";"74";"43";"584";"15,5";"80,8"
"12062";"Elbe-Elster";"Landkreis";"2.215";"54";"76";"609";"18,2";"71,0"
"12063";"Havelland";"Landkreis";"2.227";"93";"40";"553";"13,5";"77,6"
"12064";"Märkisch-Oderland";"Landkreis";"2.408";"89";"45";"578";"14,4";"82,9"
"12065";"Oberhavel";"Landkreis";"2.591";"116";"28";"554";"12,7";"78,2"
"12066";"Oberspreewald-Lausitz";"Landkreis";"2.490";"91";"60";"586";"17,6";"68,5"
"12067";"Oder-Spree";"Landkreis";"2.532";"79";"50";"584";"17,2";"71,0"
"12068";"Ostprignitz-Ruppin";"Landkreis";"2.310";"39";"100";"570";"19,7";"57,4"
"12069";"Potsdam-Mittelmark";"Landkreis";"2.479";"82";"42";"575";"14,8";"81,6"
"12070";"Prignitz";"Landkreis";"2.239";"36";"78";"578";"17,6";"61,7"
"12071";"Spree-Neiße";"Landkreis";"2.532";"70";"69";"609";"14,4";"68,6"
"12072";"Teltow-Fläming";"Landkreis";"2.441";"79";"44";"585";"13,5";"75,0"
"12073";"Uckermark";"Landkreis";"2.334";"39";"100";"560";"20,2";"54,4"
"13003";"Rostock, Stadt";"krsfr. Stadt";"2.763";"1.149";"0";"396";"13,5";"29,3"
"13004";"Schwerin, Stadt";"krsfr. Stadt";"2.795";"734";"0";"448";"15,8";"30,0"
"13071";"Mecklenburgische Seenplatte";"Landkreis";"2.325";"47";"75";"543";"15,7";"57,5"
"13072";"Landkreis Rostock";"Landkreis";"2.239";"63";"69";"564";"14,7";"76,0"
"13073";"Vorpommern-Rügen";"Landkreis";"2.194";"70";"63";"528";"15,4";"62,1"
"13074";"Nordwestmecklenburg";"Landkreis";"2.495";"74";"66";"553";"15,2";"71,3"
